[(0.79213861, 0, 3.50628128e-01, 6.18015306e-05, -0.69213861)
 (0.79106439, 0, 3.49357109e-01, 7.98451923e-05, -0.69106439)
 (0.79018548, 0, 3.48318901e-01, 9.63248019e-05, -0.69018548)
 (0.78530267, 0, 3.42579213e-01, 2.16011581e-04, -0.68530267)
 (0.73488156, 0, 2.86098283e-01, 4.24041125e-03, -0.63488156)
 (0.73253781, 0, 2.83596519e-01, 4.55114711e-03, -0.63253781)
 (0.71466672, 0, 2.64881829e-01, 7.28176935e-03, -0.61466672)
 (0.7135925 , 0, 2.63777253e-01, 7.46625652e-03, -0.6135925 )
 (0.68409101, 0, 2.34344111e-01, 1.34348928e-02, -0.58409101)
 (0.67403242, 0, 2.24706736e-01, 1.58678309e-02, -0.57403242)
 (0.66954023, 0, 2.20468031e-01, 1.70197506e-02, -0.56954023)
 (0.5784217 , 0, 1.43202981e-01, 4.90969442e-02, -0.4784217 )
 (0.55713263, 0, 1.27543719e-01, 5.89845570e-02, -0.45713263)
 (0.55049201, 0, 1.22844649e-01, 6.22542371e-02, -0.45049201)
 (0.51322778, 0, 9.81116425e-02, 8.22383058e-02, -0.41322778)
 (0.49723345, 0, 8.83477213e-02, 9.16675863e-02, -0.39723345)
 (0.45406938, 0, 6.45512516e-02, 1.19667992e-01, -0.35406938)
 (0.40591372, 0, 4.24004606e-02, 1.55303995e-01, -0.30591372)
 (0.38995793, 0, 3.60840145e-02, 1.68134501e-01, -0.28995793)
 (0.30318459, 0, 1.06470596e-02, 2.46825552e-01, -0.20318459)
 (0.28795021, 0, 7.73524032e-03, 2.62194982e-01, -0.18795021)
 (0.25435646, 0, 2.95462529e-03, 2.97726867e-01, -0.15435646)
 (0.21890725, 0, 3.57483960e-04, 3.37668788e-01, -0.11890725)
 (0.21851662, 0, 3.42865262e-04, 3.38122920e-01, -0.11851662)
 (0.21373146, 0, 1.88553131e-04, 3.43710795e-01, -0.11373146)
 (0.19537209, 0, 2.14175511e-05, 3.65574910e-01, -0.09537209)] 
 dtype=[('x1', '<f8'), ('x2', '<i4'), ('f1', '<f8'), ('f2', '<f8'), ('c1', '<f8')]
